Date,Sentiment_Scores
2007-05-07,[0.21484888 0.38270432 0.27171925 0.0996508  0.03107668]
2007-05-08,[0.37385726 0.14641581 0.09664467 0.14148346 0.24159876]
2007-05-09,[0.16501707 0.25880262 0.27641562 0.21610563 0.08365908]
2007-05-10,[0.36709872 0.26008663 0.16339901 0.12768413 0.0817315 ]
2007-05-11,[0.10936739 0.19149098 0.26056948 0.30133715 0.13723503]
2007-05-14,[0.6148962  0.23436712 0.08923461 0.04211596 0.01938618]
2007-05-15,[0.03668473 0.07631364 0.20931523 0.3880862  0.28960022]
2007-05-16,[0.08446449 0.17643674 0.26901248 0.32953918 0.14054716]
2007-05-17,[0.31400663 0.26468158 0.22917129 0.1339261  0.05821446]
2007-05-18,[0.5032286  0.23898344 0.14322177 0.07492681 0.03963939]
2007-05-21,[0.1384041  0.26434815 0.23977014 0.23845102 0.11902659]
2007-05-22,[0.377842   0.25367656 0.16466102 0.12252041 0.08129999]
2007-05-23,[0.24478793 0.20364158 0.20491889 0.21752337 0.12912823]
2007-05-24,[0.3082827  0.30323038 0.19518617 0.12297061 0.07033017]
2007-05-25,[0.29308516 0.23537517 0.1455097  0.17007968 0.1559503 ]
2007-05-29,[0.2138939  0.23323657 0.19007818 0.22854654 0.13424478]
2007-05-30,[0.30645126 0.31376594 0.2399072  0.10447238 0.03540325]
2007-05-31,[0.01352289 0.0626914  0.8941447  0.02367604 0.00596501]
2007-06-04,[0.15389912 0.37327662 0.26747188 0.15488239 0.05046997]
2007-06-05,[0.16959396 0.27909237 0.2867809  0.19909826 0.06543452]
2007-06-06,[0.18968128 0.2545457  0.32977933 0.16422625 0.06176748]
2007-06-07,[0.242908   0.28413224 0.33322376 0.10557234 0.03416366]
2007-06-08,[0.29758698 0.30228835 0.28757623 0.08439706 0.02815137]
2007-06-12,[0.2819237  0.23582403 0.20967104 0.17960371 0.09297749]
2007-06-13,[0.10259139 0.30232903 0.36800978 0.18990132 0.03716841]
2007-06-14,[0.06277281 0.20197552 0.3072     0.32049987 0.10755173]
2007-06-15,[0.07654569 0.13817322 0.22470802 0.35320544 0.20736764]
2007-06-18,[0.12207933 0.18009284 0.26192147 0.32404166 0.11186475]
2007-06-19,[0.48273817 0.2530195  0.15952097 0.06771272 0.03700862]
2007-06-21,[0.15633264 0.2048149  0.26659393 0.26274085 0.10951769]
2007-06-22,[0.2573206  0.2991094  0.21498911 0.15887353 0.06970736]
2007-06-25,[0.0575229  0.14865091 0.32328004 0.36375886 0.10678736]
2007-06-26,[0.1595525  0.18467438 0.1854861  0.24080127 0.22948574]
2007-06-27,[0.16872163 0.21468325 0.22256146 0.2398996  0.15413402]
2007-06-29,[0.44128662 0.34283867 0.13668679 0.05746124 0.02172667]
2007-07-02,[0.44600052 0.2758882  0.17260623 0.07369944 0.03180557]
2007-07-03,[0.15174523 0.1900922  0.31518343 0.23964809 0.1033311 ]
2007-07-05,[0.28926027 0.34287983 0.21611232 0.10472988 0.04701775]
2007-07-06,[0.461103   0.26569197 0.13924456 0.08341317 0.05054733]
2007-07-09,[0.17673007 0.30677304 0.2841316  0.17831822 0.05404712]
2007-07-10,[0.32641548 0.3513599  0.2083081  0.08916724 0.02474926]
2007-07-11,[0.11152398 0.16183238 0.19269352 0.3060515  0.22789864]
2007-07-12,[0.1748572  0.32110357 0.27117324 0.16574068 0.0671253 ]
2007-07-13,[0.45176527 0.3055044  0.12164278 0.07819349 0.04289409]
2007-07-16,[0.20123675 0.47372988 0.26834586 0.04850848 0.00817896]
2007-07-17,[0.12117729 0.31932908 0.31792074 0.19317962 0.04839323]
2007-07-18,[0.35573432 0.33966348 0.17899893 0.08647828 0.03912503]
2007-07-19,[0.12698655 0.20620874 0.33761048 0.2568211  0.07237314]
2007-07-20,[0.28269926 0.36496475 0.26955467 0.06407437 0.01870692]
2007-07-23,[0.45820874 0.38918924 0.13075913 0.01813754 0.00370532]
2007-07-24,[0.2607651  0.4615965  0.24257663 0.03025834 0.00480337]
2007-07-26,[0.27147642 0.25800577 0.22295135 0.14510524 0.1024612 ]
2007-07-27,[0.23482831 0.22363038 0.14088373 0.22162224 0.17903529]
2007-07-30,[0.49721336 0.3021059  0.11133928 0.0600361  0.02930532]
2007-07-31,[0.11895892 0.18899071 0.24884741 0.29512548 0.1480775 ]
2007-08-01,[0.5528307  0.26659825 0.11013266 0.04317468 0.0272636 ]
2007-08-02,[0.33615404 0.3495997  0.22173849 0.07295859 0.01954925]
2007-08-03,[0.16677046 0.31503254 0.24818876 0.18587682 0.08413146]
2007-08-06,[0.38454285 0.24516737 0.14844456 0.13767093 0.08417424]
2007-08-08,[0.39522558 0.27572852 0.1600925  0.10325582 0.06569747]
2007-08-09,[0.13073097 0.20053464 0.22541867 0.2732635  0.17005226]
2007-08-10,[0.18652327 0.26262558 0.25607702 0.19895613 0.09581794]
2007-08-13,[0.14766379 0.16433756 0.18141687 0.277081   0.22950076]
2007-08-14,[0.11567143 0.27447766 0.46606216 0.12421158 0.01957727]
2007-08-15,[0.03116567 0.14731728 0.47399697 0.30640313 0.04111692]
2007-08-16,[0.04425909 0.14200552 0.32572892 0.3831025  0.10490397]
2007-08-17,[0.2319201  0.22680457 0.196122   0.20083839 0.14431496]
2007-08-20,[0.10485204 0.30437666 0.3880039  0.17855497 0.02421252]
2007-08-21,[0.37138128 0.3276614  0.1844411  0.08685076 0.02966549]
2007-08-22,[0.61012614 0.24430516 0.09018379 0.03573808 0.01964684]
2007-08-23,[0.40568185 0.25067347 0.1508397  0.11391082 0.07889423]
2007-08-24,[0.34159517 0.33700925 0.2065525  0.08857925 0.02626376]
2007-08-27,[0.3486788  0.273832   0.20032357 0.13537471 0.04179091]
2007-08-28,[0.379266   0.25353009 0.17746873 0.12375216 0.06598299]
2007-08-30,[0.12709095 0.13096353 0.1364262  0.29455352 0.31096584]
2007-08-31,[0.5717338  0.2991508  0.09428957 0.02650329 0.0083225 ]
2007-09-04,[0.6123778  0.24307041 0.08528229 0.03899373 0.02027575]
2007-09-05,[0.1995257  0.28276187 0.23876877 0.20053528 0.07840838]
2007-09-06,[0.610272   0.21922338 0.09819134 0.04672228 0.025591  ]
2007-09-07,[0.5404039  0.25090635 0.11351921 0.05737939 0.03779113]
2007-09-10,[0.54035056 0.23213232 0.12317239 0.05865399 0.04569076]
2007-09-11,[0.36390254 0.27381364 0.16617458 0.11066401 0.08544524]
2007-09-12,[0.32224935 0.28700414 0.19685897 0.12982664 0.06406087]
2007-09-13,[0.19716172 0.3167666  0.2803138  0.15291202 0.05284582]
2007-09-14,[0.31721205 0.47190043 0.17513017 0.02625078 0.0095066 ]
2007-09-17,[0.20704737 0.25044492 0.25915337 0.20737371 0.07598058]
2007-09-18,[0.22873579 0.282252   0.26394263 0.17355019 0.05151935]
2007-09-19,[0.3527314  0.21672207 0.17909451 0.14648882 0.10496323]
2007-09-20,[0.15802655 0.1376764  0.17014839 0.28165755 0.25249106]
2007-09-21,[0.58471775 0.21623772 0.11407085 0.0550568  0.02991684]
2007-09-24,[0.49192858 0.33610028 0.11763486 0.03948893 0.01484732]
2007-09-25,[0.6627689  0.25763258 0.06202627 0.01256569 0.00500654]
2007-09-26,[0.6726466  0.23550496 0.06123123 0.0206242  0.00999299]
2007-09-27,[0.33287662 0.2933738  0.15916488 0.140074   0.07451072]
2007-09-28,[0.14816174 0.20361282 0.21304534 0.2694441  0.165736  ]
2007-10-01,[0.1840753  0.15853097 0.14928527 0.26879364 0.23931476]
2007-10-02,[0.08542644 0.13325283 0.21830282 0.3579126  0.20510523]
2007-10-03,[0.13283949 0.19865869 0.24572016 0.29437545 0.12840615]
2007-10-04,[0.08998431 0.21521996 0.340298   0.28215933 0.07233837]
2007-10-05,[0.153459   0.16123638 0.14530373 0.2697479  0.27025303]
2007-10-08,[0.2257379  0.36290863 0.21959992 0.13724165 0.05451196]
2007-10-09,[0.29508495 0.3067165  0.22550736 0.12325165 0.04943953]
2007-10-11,[0.2235493  0.24228317 0.19463146 0.22141849 0.11811756]
2007-10-12,[0.17596681 0.2272396  0.2579599  0.2574354  0.08139826]
2007-10-15,[0.3245891  0.35108465 0.15781485 0.1037534  0.06275801]
2007-10-16,[0.19253212 0.29772547 0.25047535 0.17295009 0.08631692]
2007-10-17,[0.45409834 0.28489354 0.13254638 0.08363602 0.04482568]
2007-10-18,[0.42404333 0.27336404 0.12304755 0.09893785 0.08060718]
2007-10-19,[0.39274752 0.3426721  0.1311336  0.08107792 0.05236888]
2007-10-23,[0.15935117 0.19168653 0.18919118 0.22157057 0.23820059]
2007-10-24,[0.12651213 0.22677103 0.28989515 0.2517221  0.10509957]
2007-10-25,[0.10022097 0.17473543 0.30659163 0.2929692  0.1254828 ]
2007-10-26,[0.5923856  0.24153672 0.09788589 0.04320028 0.02499154]
2007-10-29,[0.16064069 0.3282157  0.341568   0.14184004 0.02773554]
2007-10-30,[0.03963589 0.11928915 0.29803836 0.43362096 0.10941568]
2007-10-31,[0.15417765 0.2753919  0.24910209 0.20878436 0.11254403]
2007-11-01,[0.06982751 0.11928339 0.24655032 0.3771286  0.18721019]
2007-11-02,[0.12340644 0.23138471 0.30503917 0.26644263 0.073727  ]
2007-11-05,[0.07663322 0.13529885 0.20556465 0.37384614 0.20865715]
2007-11-06,[0.3484693  0.2850759  0.20249017 0.11273099 0.05123359]
2007-11-07,[0.08737548 0.26636532 0.42888674 0.19194221 0.02543017]
2007-11-08,[0.16674812 0.36310276 0.3371528  0.1153478  0.01764848]
2007-11-09,[0.68040836 0.19375128 0.06707862 0.03513016 0.02363163]
2007-11-12,[0.4888484  0.25083688 0.09438863 0.09068477 0.07524134]
2007-11-13,[0.44877356 0.351896   0.13120952 0.0474833  0.02063766]
2007-11-14,[0.225676   0.3186399  0.21173878 0.1656171  0.07832821]
2007-11-15,[0.01829024 0.07144903 0.3073586  0.48582223 0.11707989]
2007-11-16,[0.03889361 0.1595667  0.39921895 0.3445324  0.05778833]
2007-11-19,[0.3926449  0.2975673  0.18626904 0.09121264 0.03230612]
2007-11-20,[0.43174908 0.15319301 0.10579333 0.12841593 0.1808487 ]
2007-11-21,[0.5016994  0.28738493 0.11772151 0.06189336 0.03130084]
2007-11-23,[0.11351869 0.27389678 0.2987664  0.23151013 0.082308  ]
2007-11-26,[0.01885262 0.0946746  0.3895026  0.4288913  0.06807876]
2007-11-27,[0.05353399 0.04561142 0.08812404 0.3184253  0.49430522]
2007-11-28,[0.01697714 0.021648   0.05919775 0.31396303 0.5882141 ]
2007-11-29,[0.03863952 0.07586838 0.16089231 0.44096863 0.2836312 ]
2007-11-30,[0.02828377 0.0763744  0.24243543 0.44927186 0.2036346 ]
2007-12-03,[0.30600888 0.3485349  0.2382534  0.08131192 0.02589086]
2007-12-04,[0.06660947 0.1979932  0.35112554 0.30270764 0.08156419]
2007-12-05,[0.01221633 0.06780365 0.47426224 0.38315454 0.06256324]
2007-12-06,[0.07030411 0.158348   0.32206327 0.3435002  0.10578439]
2007-12-10,[0.45510563 0.28335503 0.14620195 0.07248189 0.04285548]
2007-12-11,[0.19059327 0.22904772 0.20385006 0.22521809 0.1512908 ]
2007-12-12,[0.39888868 0.2918929  0.14500846 0.1016432  0.06256675]
2007-12-14,[0.08253784 0.13799518 0.21963009 0.35945633 0.20038052]
2007-12-17,[0.2920849  0.24985714 0.19392528 0.18199164 0.08214109]
2007-12-18,[0.33713388 0.3152078  0.22811316 0.08945027 0.03009487]
2007-12-19,[0.04349078 0.10034263 0.22887644 0.43256253 0.19472761]
2007-12-20,[0.69879514 0.19635496 0.06956436 0.02360742 0.01167805]
2007-12-21,[0.7319812  0.18794182 0.05420242 0.0161248  0.00974976]
2007-12-26,[0.14162584 0.26672608 0.2748396  0.20476876 0.11203976]
2007-12-27,[0.3081893  0.2559412  0.18371704 0.16094463 0.09120784]
2007-12-28,[0.39260644 0.2650458  0.17453498 0.11508172 0.0527311 ]
2007-12-31,[0.30733398 0.2927833  0.28422523 0.0893939  0.02626354]
2008-01-03,[0.04867044 0.09349971 0.1651052  0.3621704  0.33055425]
2008-01-04,[0.3335932  0.3796966  0.19665849 0.06927165 0.02078008]
2008-01-07,[0.13174629 0.30401427 0.34017593 0.17538303 0.0486804 ]
2008-01-08,[0.25952268 0.20970955 0.19809648 0.20875843 0.12391283]
2008-01-09,[0.20836931 0.19943182 0.23656051 0.22762221 0.12801611]
2008-01-10,[0.29985458 0.28717154 0.19100615 0.14332913 0.07863855]
2008-01-11,[0.19163597 0.21254687 0.2403989  0.23509644 0.12032179]
2008-01-15,[0.16572884 0.14859234 0.14219986 0.26049212 0.28298685]
2008-01-16,[0.05484719 0.10213936 0.16943571 0.40370652 0.26987126]
2008-01-17,[0.37426943 0.3041349  0.18028507 0.09251405 0.04879648]
2008-01-18,[0.18729456 0.36342463 0.31194878 0.11501126 0.02232079]
2008-01-22,[0.25422722 0.40204138 0.27953234 0.05520827 0.00899072]
2008-01-23,[0.28948763 0.41227967 0.23474412 0.05050447 0.01298404]
2008-01-24,[0.29416046 0.29468662 0.13853885 0.17194952 0.10066453]
2008-01-25,[0.04613447 0.08994755 0.2357464  0.48884726 0.13932434]
2008-01-28,[0.0528581  0.13168134 0.33727726 0.36813232 0.11005099]
2008-01-29,[0.11162079 0.23702349 0.29343688 0.23109415 0.12682475]
2008-01-30,[0.20003314 0.31695947 0.28451937 0.13301402 0.065474  ]
2008-02-01,[0.2788296  0.20285968 0.17462446 0.19656672 0.14711949]
2008-02-04,[0.29348704 0.271237   0.18466355 0.14647773 0.1041347 ]
2008-02-05,[0.19637427 0.15917492 0.15303043 0.21135414 0.2800662 ]
2008-02-06,[0.16964884 0.34245852 0.3461728  0.11911978 0.02259997]
2008-02-07,[0.09141339 0.18254769 0.28217095 0.31016067 0.13370727]
2008-02-08,[0.11993446 0.20815425 0.30732483 0.2649726  0.09961383]
2008-02-12,[0.15364046 0.15072727 0.14889346 0.2469106  0.29982823]
2008-02-13,[0.12417684 0.2979764  0.37517184 0.16231795 0.04035706]
2008-02-14,[0.18418737 0.26798776 0.288473   0.19474564 0.06460616]
2008-02-15,[0.31842214 0.22089641 0.16417533 0.16042581 0.13608031]
2008-02-19,[0.40765768 0.33232602 0.144053   0.07473011 0.04123318]
2008-02-20,[0.29267842 0.22770958 0.19287795 0.1779171  0.10881701]
2008-02-21,[0.34151888 0.31346494 0.22061135 0.09632955 0.02807532]
2008-02-22,[0.1763488  0.24546367 0.22713935 0.21721408 0.13383412]
2008-02-25,[0.39005876 0.35632017 0.15320063 0.07006675 0.03035378]
2008-02-26,[0.01896837 0.09446518 0.366482   0.4396112  0.08047332]
2008-02-27,[0.00629204 0.03034673 0.22483791 0.60693425 0.13158903]
2008-02-28,[0.03956716 0.11988697 0.28572297 0.45096174 0.10386118]
2008-02-29,[0.33070976 0.29241133 0.1509204  0.13693787 0.08902063]
2008-03-03,[0.3120554  0.3086932  0.17173663 0.13092585 0.07658891]
2008-03-04,[0.04758637 0.08862538 0.19162296 0.4104015  0.26176378]
2008-03-05,[0.36941096 0.2946271  0.16176885 0.11456843 0.05962462]
2008-03-06,[0.2488076  0.24109565 0.17660712 0.20483129 0.12865825]
2008-03-07,[0.21027926 0.25623655 0.2601739  0.19512552 0.07818478]
2008-03-11,[0.01911528 0.0429079  0.15830679 0.52448034 0.25518966]
2008-03-12,[0.010322   0.05890143 0.23356786 0.51072496 0.18648386]
2008-03-13,[0.17270686 0.2977377  0.28911018 0.16945598 0.07098932]
2008-03-17,[0.3848869  0.24638407 0.17848814 0.12101032 0.06923063]
2008-03-18,[0.1451659  0.14487854 0.13913329 0.275173   0.29564917]
2008-03-19,[0.0825891  0.09900582 0.12781852 0.30915785 0.3814288 ]
2008-03-20,[0.08847713 0.13778216 0.21315718 0.36438447 0.19619901]
2008-03-24,[0.18367799 0.2554663  0.29967505 0.19814178 0.06303887]
2008-03-25,[0.09427916 0.21241853 0.35589823 0.26531062 0.07209345]
2008-03-26,[0.12635706 0.25864053 0.42648908 0.15807633 0.03043698]
2008-03-28,[0.37099788 0.2570305  0.16463095 0.12150617 0.0858345 ]
2008-03-31,[0.09816933 0.18978901 0.18199132 0.30047923 0.22957107]
2008-04-01,[0.07568172 0.12060675 0.22150996 0.3408481  0.24135353]
2008-04-02,[0.51782775 0.30542353 0.11350565 0.04273159 0.02051148]
2008-04-03,[0.12982841 0.1753227  0.19610351 0.29339227 0.20535311]
2008-04-04,[0.10541987 0.20424709 0.257536   0.31260398 0.12019307]
2008-04-07,[0.2825484  0.2516726  0.19075048 0.16996329 0.10506524]
2008-04-08,[0.36376768 0.28929892 0.16974185 0.11970102 0.05749048]
2008-04-09,[0.14956595 0.286442   0.20192827 0.2392173  0.12284648]
2008-04-10,[0.0466076  0.1089726  0.2127704  0.37579316 0.25585628]
2008-04-11,[0.11521073 0.24769759 0.26228347 0.24980669 0.12500156]
2008-04-14,[0.17990027 0.24434717 0.2151191  0.24656367 0.1140698 ]
2008-04-15,[0.04496141 0.05438599 0.08927554 0.3364593  0.47491768]
2008-04-16,[0.1462313  0.2312201  0.23053038 0.2529091  0.1391091 ]
2008-04-17,[0.29543397 0.28872505 0.20644318 0.14355542 0.0658423 ]
2008-04-18,[0.2088665  0.2612263  0.21397579 0.22912712 0.0868043 ]
2008-04-21,[0.2537601  0.29094556 0.22204098 0.14409515 0.08915823]
2008-04-22,[0.45497608 0.36070904 0.12298275 0.03802992 0.02330217]
2008-04-23,[0.32593846 0.33304715 0.16365393 0.10853004 0.0688304 ]
2008-04-24,[0.315891   0.39795378 0.17935109 0.07489563 0.03190853]
2008-04-25,[0.16119097 0.19351988 0.2389995  0.27312228 0.13316737]
2008-04-28,[0.43098015 0.3221853  0.12750186 0.0857325  0.03360014]
2008-04-30,[0.24425802 0.16630389 0.16968954 0.19714041 0.22260806]
2008-05-01,[0.5341074  0.30479676 0.11474389 0.03208135 0.01427068]
2008-05-02,[0.11485377 0.20315845 0.29504576 0.2887485  0.09819342]
2008-05-05,[0.21452919 0.2607777  0.22179489 0.1905016  0.11239662]
2008-05-06,[0.19154105 0.27588055 0.28882772 0.1737095  0.07004121]
2008-05-07,[0.4262815  0.2205671  0.1317215  0.12560831 0.09582159]
2008-05-08,[0.26607308 0.21936652 0.15558954 0.20419976 0.15477118]
2008-05-09,[0.21741939 0.2500651  0.24449301 0.21215244 0.07587007]
2008-05-12,[0.19156268 0.23487586 0.26982617 0.21776854 0.08596667]
2008-05-13,[0.1302947  0.19913487 0.2711001  0.28372222 0.11574818]
2008-05-14,[0.13296929 0.26691583 0.28088185 0.22059977 0.09863327]
2008-05-15,[0.12027596 0.173573   0.18808886 0.3078185  0.21024372]
2008-05-16,[0.04890618 0.09543575 0.219317   0.44676682 0.1895743 ]
2008-05-19,[0.17524154 0.2911303  0.24231786 0.21327734 0.078033  ]
2008-05-20,[0.14113119 0.22451596 0.2623543  0.2803287  0.09166983]
2008-05-22,[0.22680949 0.16918376 0.15595412 0.24421541 0.20383714]
2008-05-23,[0.25793424 0.2596496  0.19849934 0.17411214 0.1098047 ]
2008-05-27,[0.24859919 0.33168662 0.25803116 0.12067057 0.04101239]
2008-05-28,[0.17039391 0.34758878 0.3307977  0.12474366 0.02647597]
2008-05-30,[0.32340088 0.36635926 0.19948722 0.07771757 0.03303505]
2008-06-02,[0.3592799  0.3717963  0.1774162  0.06868761 0.02281994]
2008-06-03,[0.27350274 0.28275153 0.15514618 0.1608556  0.1277439 ]
2008-06-04,[0.10734893 0.19736975 0.21720037 0.2791213  0.19895968]
2008-06-05,[0.1961133  0.3212627  0.23064308 0.1702749  0.08170605]
2008-06-06,[0.2907717  0.42856336 0.17508925 0.07072699 0.03484872]
2008-06-10,[0.15996563 0.30774182 0.32571816 0.16052574 0.04604866]
2008-06-11,[0.13915762 0.28534234 0.36436087 0.16565093 0.04548822]
2008-06-12,[0.14824758 0.30893967 0.34517196 0.15698361 0.0406572 ]
2008-06-13,[0.27969515 0.30443677 0.24621446 0.11916554 0.05048806]
2008-06-16,[0.17603971 0.16399358 0.14718482 0.29518315 0.21759874]
2008-06-17,[0.29934442 0.21774182 0.13579781 0.15757762 0.1895383 ]
2008-06-18,[0.08499723 0.16271628 0.26575482 0.33666724 0.1498645 ]
2008-06-19,[0.03919848 0.08910112 0.20810756 0.4633136  0.20027922]
